cele1,CE32090
cele2,CE50569
cele3,CE32785
cele4,CE48524
cele5,CE52653
cele6,CE24758
cele7,CE47782
cele8,CE35820
cele9,CE39659
cele10,CE19650
cele11,CE44666
cele12,CE44872
cele13,CE37870
cele14,CE46597
cele15,CE39465
cele16,CE52047
cele17,CE37871
cele18,CE05133
cele19,CE37872
cele20,CE36372
cele21,CE47308
cele22,CE05136
cele23,CE05137
cele24,CE35375
cele25,CE52369
cele26,CE52241
cele27,CE25736
cele28,CE31275
cele29,CE49353
cele30,CE49440
cele31,CE43714
cele32,CE37737
cele33,CE20439
cele34,CE20441
cele35,CE37737
cele36,CE20439
cele37,CE20441
cele38,CE07655
cele39,CE07656
cele40,CE07658
cele41,CE01450
cele42,CE01451
cele43,CE01452
cele44,CE01453
cele45,CE01455
cele46,CE46614
cele47,CE01456
cele48,CE01457
cele49,CE01458
cele50,CE26846
cele51,CE01460
cele52,CE01461
cele53,CE01462
cele54,CE40671
cele55,CE03858
cele56,CE39538
cele57,CE30841
cele58,CE39539
cele59,CE32786
cele60,CE45650
cele61,CE45658
cele62,CE36776
cele63,CE29523
cele64,CE41344
cele65,CE49856
cele66,CE37307
cele67,CE29524
cele68,CE31863
cele69,CE05145
cele70,CE47176
cele71,CE47208
cele72,CE31864
cele73,CE48061
cele74,CE50840
cele75,CE40797
cele76,CE42791
cele77,CE05146
cele78,CE43076
cele79,CE05155
cele80,CE05156
cele81,CE35376
cele82,CE42500
cele83,CE42527
cele84,CE42520
cele85,CE45311
cele86,CE42524
cele87,CE05147
cele88,CE31281
cele89,CE05149
cele90,CE47853
cele91,CE46160
cele92,CE42903
cele93,CE45799
cele94,CE45743
cele95,CE48310
cele96,CE42941
cele97,CE05153
cele98,CE24759
cele99,CE24760
cele100,CE37691
cele101,CE27562
cele102,CE42780
cele103,CE44022
cele104,CE39883
cele105,CE02410
cele106,CE27048
cele107,CE27049
cele108,CE39540
cele109,CE02412
cele110,CE45030
cele111,CE38673
cele112,CE03253
cele113,CE05166
cele114,CE05167
cele115,CE05168
cele116,CE05169
cele117,CE47882
cele118,CE05170
cele119,CE26926
cele120,CE38479
cele121,CE07665
cele122,CE05159
cele123,CE05160
cele124,CE48168
cele125,CE52534
cele126,CE05161
cele127,CE05162
cele128,CE05163
cele129,CE20443
cele130,CE04501
cele131,CE05165
cele132,CE03252
cele133,CE45125
cele134,CE45637
cele135,CE52541
cele136,CE27563
cele137,CE52339
cele138,CE07667
cele139,CE45865
cele140,CE52331
cele141,CE52125
cele142,CE52226
cele143,CE51424
cele144,CE07669
cele145,CE29527
cele146,CE52584
cele147,CE34237
cele148,CE39541
cele149,CE17314
cele150,CE29528
cele151,CE36680
cele152,CE39083
cele153,CE07675
cele154,CE07676
cele155,CE26461
cele156,CE43906
cele157,CE44244
cele158,CE44196
cele159,CE17324
cele160,CE39542
cele161,CE38674
cele162,CE39199
cele163,CE39200
cele164,CE49392
cele165,CE49214
cele166,CE17316
cele167,CE38019
cele168,CE26355
cele169,CE39201
cele170,CE39543
cele171,CE30405
cele172,CE17321
cele173,CE17322
cele174,CE17323
cele175,CE36625
cele176,CE39544
cele177,CE44877
cele178,CE30227
cele179,CE26421
cele180,CE32092
cele181,CE30406
cele182,CE27564
cele183,CE38990
cele184,CE24761
cele185,CE50098
cele186,CE50069
cele187,CE30229
cele188,CE07685
cele189,CE07686
cele190,CE07687
cele191,CE44425
cele192,CE49039
cele193,CE48561
cele194,CE38133
cele195,CE16769
cele196,CE27565
cele197,CE29529
cele198,CE37740
cele199,CE48680
cele200,CE20445
cele201,CE16781
cele202,CE35205
cele203,CE46874
cele204,CE51682
cele205,CE16783
cele206,CE41971
cele207,CE30582
cele208,CE39545
cele209,CE39546
cele210,CE51666
cele211,CE16786
cele212,CE30583
cele213,CE16773
cele214,CE16774
cele215,CE16775
cele216,CE16776
cele217,CE16777
cele218,CE16778
cele219,CE35206
cele220,CE38135
cele221,CE06684
cele222,CE06685
cele223,CE06686
cele224,CE06688
cele225,CE06689
cele226,CE49543
cele227,CE49557
cele228,CE06691
cele229,CE06692
cele230,CE38766
cele231,CE49077
cele232,CE52063
cele233,CE30584
cele234,CE06695
cele235,CE06696
cele236,CE25739
cele237,CE48016
cele238,CE06699
cele239,CE48200
cele240,CE41748
cele241,CE31282
cele242,CE44996
cele243,CE37471
cele244,CE39660
cele245,CE01745
cele246,CE34629
cele247,CE47904
cele248,CE34630
cele249,CE39885
cele250,CE39886
cele251,CE07691
cele252,CE07700
cele253,CE07701
cele254,CE07702
