renamed_proteinid,proteinid,og_number
cele1,CE32090,no_og
cele2,CE50569,no_og
cele3,CE32785,no_og
cele4,CE48524,no_og
cele5,CE52653,no_og
cele6,CE24758,no_og
cele7,CE47782,no_og
cele8,CE35820,no_og
cele9,CE39659,no_og
cele10,CE19650,no_og
cele11,CE44666,no_og
cele12,CE44872,no_og
cele13,CE37870,no_og
cele14,CE46597,no_og
cele15,CE39465,no_og
cele16,CE52047,no_og
cele17,CE37871,og
cele18,CE05133,no_og
cele19,CE37872,no_og
cele20,CE36372,no_og
cele21,CE47308,no_og
cele22,CE05136,no_og
cele23,CE05137,no_og
cele24,CE35375,og
cele25,CE52369,og
cele26,CE52241,og
cele27,CE25736,og
cele28,CE31275,og
cele29,CE49353,og
cele30,CE49440,og
cele31,CE43714,no_og
cele32,CE37737,no_og
cele33,CE20439,no_og
cele34,CE20441,no_og
cele35,CE37737,no_og
cele36,CE20439,no_og
cele37,CE20441,no_og
cele38,CE07655,no_og
cele39,CE07656,no_og
cele40,CE07658,no_og
cele41,CE01450,no_og
cele42,CE01451,no_og
cele43,CE01452,no_og
cele44,CE01453,no_og
cele45,CE01455,no_og
cele46,CE46614,no_og
cele47,CE01456,og
cele48,CE01457,no_og
cele49,CE01458,no_og
cele50,CE26846,no_og
cele51,CE01460,no_og
cele52,CE01461,no_og
cele53,CE01462,no_og
cele54,CE40671,no_og
cele55,CE03858,no_og
cele56,CE39538,no_og
cele57,CE30841,no_og
cele58,CE39539,no_og
cele59,CE32786,no_og
cele60,CE45650,no_og
cele61,CE45658,no_og
cele62,CE36776,no_og
cele63,CE29523,no_og
cele64,CE41344,no_og
cele65,CE49856,no_og
cele66,CE37307,og
cele67,CE29524,no_og
cele68,CE31863,no_og
cele69,CE05145,no_og
cele70,CE47176,no_og
cele71,CE47208,no_og
cele72,CE31864,no_og
cele73,CE48061,no_og
cele74,CE50840,no_og
cele75,CE40797,no_og
cele76,CE42791,no_og
cele77,CE05146,no_og
cele78,CE43076,no_og
cele79,CE05155,og
cele80,CE05156,og
cele81,CE35376,og
cele82,CE42500,og
cele83,CE42527,og
cele84,CE42520,og
cele85,CE45311,og
cele86,CE42524,no_og
cele87,CE05147,no_og
cele88,CE31281,no_og
cele89,CE05149,no_og
cele90,CE47853,no_og
cele91,CE46160,no_og
cele92,CE42903,no_og
cele93,CE45799,no_og
cele94,CE45743,no_og
cele95,CE48310,no_og
cele96,CE42941,og
cele97,CE05153,og
cele98,CE24759,og
cele99,CE24760,no_og
cele100,CE37691,og
cele101,CE27562,og
cele102,CE42780,og
cele103,CE44022,no_og
cele104,CE39883,no_og
cele105,CE02410,no_og
cele106,CE27048,og
cele107,CE27049,no_og
cele108,CE39540,no_og
cele109,CE02412,no_og
cele110,CE45030,no_og
cele111,CE38673,no_og
cele112,CE03253,og
cele113,CE05166,no_og
cele114,CE05167,og
cele115,CE05168,no_og
cele116,CE05169,og
cele117,CE47882,no_og
cele118,CE05170,no_og
cele119,CE26926,og
cele120,CE38479,no_og
cele121,CE07665,no_og
cele122,CE05159,no_og
cele123,CE05160,og
cele124,CE48168,no_og
cele125,CE52534,no_og
cele126,CE05161,og
cele127,CE05162,og
cele128,CE05163,og
cele129,CE20443,no_og
cele130,CE04501,og
cele131,CE05165,og
cele132,CE03252,og
cele133,CE45125,no_og
cele134,CE45637,no_og
cele135,CE52541,no_og
cele136,CE27563,no_og
cele137,CE52339,no_og
cele138,CE07667,no_og
cele139,CE45865,no_og
cele140,CE52331,no_og
cele141,CE52125,no_og
cele142,CE52226,no_og
cele143,CE51424,og
cele144,CE07669,og
cele145,CE29527,og
cele146,CE52584,no_og
cele147,CE34237,og
cele148,CE39541,og
cele149,CE17314,og
cele150,CE29528,no_og
cele151,CE36680,no_og
cele152,CE39083,no_og
cele153,CE07675,no_og
cele154,CE07676,no_og
cele155,CE26461,no_og
cele156,CE43906,no_og
cele157,CE44244,no_og
cele158,CE44196,no_og
cele159,CE17324,no_og
cele160,CE39542,og
cele161,CE38674,no_og
cele162,CE39199,no_og
cele163,CE39200,no_og
cele164,CE49392,no_og
cele165,CE49214,no_og
cele166,CE17316,no_og
cele167,CE38019,no_og
cele168,CE26355,og
cele169,CE39201,no_og
cele170,CE39543,no_og
cele171,CE30405,og
cele172,CE17321,og
cele173,CE17322,no_og
cele174,CE17323,no_og
cele175,CE36625,no_og
cele176,CE39544,no_og
cele177,CE44877,no_og
cele178,CE30227,og
cele179,CE26421,og
cele180,CE32092,no_og
cele181,CE30406,no_og
cele182,CE27564,no_og
cele183,CE38990,no_og
cele184,CE24761,og
cele185,CE50098,no_og
cele186,CE50069,no_og
cele187,CE30229,og
cele188,CE07685,no_og
cele189,CE07686,no_og
cele190,CE07687,no_og
cele191,CE44425,og
cele192,CE49039,og
cele193,CE48561,og
cele194,CE38133,no_og
cele195,CE16769,no_og
cele196,CE27565,no_og
cele197,CE29529,no_og
cele198,CE37740,no_og
cele199,CE48680,no_og
cele200,CE20445,no_og
cele201,CE16781,no_og
cele202,CE35205,no_og
cele203,CE46874,no_og
cele204,CE51682,no_og
cele205,CE16783,no_og
cele206,CE41971,og
cele207,CE30582,no_og
cele208,CE39545,no_og
cele209,CE39546,og
cele210,CE51666,no_og
cele211,CE16786,no_og
cele212,CE30583,no_og
cele213,CE16773,no_og
cele214,CE16774,no_og
cele215,CE16775,no_og
cele216,CE16776,no_og
cele217,CE16777,no_og
cele218,CE16778,no_og
cele219,CE35206,no_og
cele220,CE38135,no_og
cele221,CE06684,og
cele222,CE06685,no_og
cele223,CE06686,og
cele224,CE06688,no_og
cele225,CE06689,no_og
cele226,CE49543,no_og
cele227,CE49557,no_og
cele228,CE06691,no_og
cele229,CE06692,no_og
cele230,CE38766,no_og
cele231,CE49077,no_og
cele232,CE52063,og
cele233,CE30584,no_og
cele234,CE06695,og
cele235,CE06696,no_og
cele236,CE25739,no_og
cele237,CE48016,no_og
cele238,CE06699,no_og
cele239,CE48200,no_og
cele240,CE41748,no_og
cele241,CE31282,no_og
cele242,CE44996,no_og
cele243,CE37471,no_og
cele244,CE39660,no_og
cele245,CE01745,og
cele246,CE34629,og
cele247,CE47904,no_og
cele248,CE34630,og
cele249,CE39885,no_og
cele250,CE39886,no_og
cele251,CE07691,no_og
cele252,CE07700,og
cele253,CE07701,no_og
cele254,CE07702,no_og
cele255,CE38767,no_og
cele256,CE35208,no_og
cele257,CE07695,no_og
cele258,CE07696,no_og
cele259,CE07697,og
cele260,CE37949,no_og
cele261,CE32558,no_og
cele262,CE05172,og
cele263,CE39310,no_og
cele264,CE42996,no_og
cele265,CE50867,no_og
cele266,CE31866,no_og
cele267,CE51994,no_og
cele268,CE52622,no_og
cele269,CE26789,no_og
cele270,CE51944,no_og
cele271,CE51938,no_og
cele272,CE51980,no_og
cele273,CE31867,no_og
cele274,CE39466,no_og
cele275,CE46298,no_og
cele276,CE46437,no_og
cele277,CE43682,no_og
cele278,CE46269,no_og
cele279,CE52007,no_og
cele280,CE32094,no_og
cele281,CE01756,no_og
cele282,CE18478,og
cele283,CE36577,no_og
cele284,CE46537,no_og
cele285,CE46126,no_og
cele286,CE18479,no_og
cele287,CE18481,og
cele288,CE18482,no_og
cele289,CE47632,no_og
cele290,CE41605,no_og
cele291,CE36579,og
cele292,CE45538,no_og
cele293,CE30230,og
cele294,CE32095,no_og
cele295,CE34631,no_og
cele296,CE30586,no_og
cele297,CE02420,no_og
cele298,CE27567,og
cele299,CE02421,no_og
cele300,CE38933,no_og
cele301,CE29531,no_og
cele302,CE32559,og
cele303,CE32560,og
cele304,CE39547,og
cele305,CE39548,og
cele306,CE07707,no_og
cele307,CE29532,no_og
cele308,CE39549,no_og
cele309,CE07709,no_og
cele310,CE34240,no_og
cele311,CE44818,no_og
cele312,CE00850,og
